Common Uses,SKU,description,name,title,Material,"Because of the infinite color, thickness & construction combinations, contact a Product Specialist to request your Nuway® sample.",CleanZone™,Warranty,Format,Size,Max Panel Size,Panel Thickness,Construction,Blade Spacing,Installation,Style,Thickness,Application Settings,Order Notes,Roll Sizes,Backing,Tile Size,Tile Thickness,Case Pack,Weight,Recommended Installation,Roll Size,Top Layer Thickness,Total Thickness,Tile Weight,Standard Thickness,Additional Thicknesses,Standard Weight,Common Uses:,Application,Pile Material,Sizes
,PXRT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Anti-slip surface for indoor and outdoor applications; ADA Compliant
Maintenance-free surface looks brand new for years
Custom shapes available
Frames come pre-assembled
Drain pan option available
Unique ""T"" blade design prevents debris from lodging within the grille",Array Track,Mats Inc | Array Track | Foot Grilles,,,,,,,,,,"Not to exceed 3/16""",,,,,,,,,,,,,,,,,,,,,,,
,PXRT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Anti-slip surface for indoor and outdoor applications; ADA Compliant
Maintenance-free surface looks brand new for years
Custom shapes available
Frames come pre-assembled
Drain pan option available
Unique ""T"" blade design prevents debris from lodging within the grille",Array Track,Mats Inc | Array Track | Foot Grilles,,,,,,,,,,," 
Recessed
",,,,,,,,,,,,,,,,,,,,,,
,PXRT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Anti-slip surface for indoor and outdoor applications; ADA Compliant
Maintenance-free surface looks brand new for years
Custom shapes available
Frames come pre-assembled
Drain pan option available
Unique ""T"" blade design prevents debris from lodging within the grille",Array Track,Mats Inc | Array Track | Foot Grilles,,,,,,,,,,," 
Recessed
",,,,,,,,,,,,,,,,,,,,,,
,PXRT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Anti-slip surface for indoor and outdoor applications; ADA Compliant
Maintenance-free surface looks brand new for years
Custom shapes available
Frames come pre-assembled
Drain pan option available
Unique ""T"" blade design prevents debris from lodging within the grille",Array Track,Mats Inc | Array Track | Foot Grilles,,,,,,,,,,," 
Recessed
",,,,,,,,,,,,,,,,,,,,,,
,PXRT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Anti-slip surface for indoor and outdoor applications; ADA Compliant
Maintenance-free surface looks brand new for years
Custom shapes available
Frames come pre-assembled
Drain pan option available
Unique ""T"" blade design prevents debris from lodging within the grille",Array Track,Mats Inc | Array Track | Foot Grilles,,,,,,,,,,," 
Recessed
",,,,,,,,,,,,,,,,,,,,,,
,PXRT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Anti-slip surface for indoor and outdoor applications; ADA Compliant
Maintenance-free surface looks brand new for years
Custom shapes available
Frames come pre-assembled
Drain pan option available
Unique ""T"" blade design prevents debris from lodging within the grille",Array Track,Mats Inc | Array Track | Foot Grilles,,,,,,,,,,," 
Recessed
",,,,,,,,,,,,,,,,,,,,,,
,PXRT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Anti-slip surface for indoor and outdoor applications; ADA Compliant
Maintenance-free surface looks brand new for years
Custom shapes available
Frames come pre-assembled
Drain pan option available
Unique ""T"" blade design prevents debris from lodging within the grille",Array Track,Mats Inc | Array Track | Foot Grilles,,,,,,,,,,," 
Recessed
",,,,,,,,,,,,,,,,,,,,,,
,PXRT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Anti-slip surface for indoor and outdoor applications; ADA Compliant
Maintenance-free surface looks brand new for years
Custom shapes available
Frames come pre-assembled
Drain pan option available
Unique ""T"" blade design prevents debris from lodging within the grille",Array Track,Mats Inc | Array Track | Foot Grilles,,,,,,,,,,," 
Recessed
",,,,,,,,,,,,,,,,,,,,,,
,PXRT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Anti-slip surface for indoor and outdoor applications; ADA Compliant
Maintenance-free surface looks brand new for years
Custom shapes available
Frames come pre-assembled
Drain pan option available
Unique ""T"" blade design prevents debris from lodging within the grille",Array Track,Mats Inc | Array Track | Foot Grilles,,,,,,,,,,," 
Recessed
",,,,,,,,,,,,,,,,,,,,,,
,PXRT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Anti-slip surface for indoor and outdoor applications; ADA Compliant
Maintenance-free surface looks brand new for years
Custom shapes available
Frames come pre-assembled
Drain pan option available
Unique ""T"" blade design prevents debris from lodging within the grille",Array Track,Mats Inc | Array Track | Foot Grilles,,,,,,,,,,," 
Recessed
",,,,,,,,,,,,,,,,,,,,,,
,PXRT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Anti-slip surface for indoor and outdoor applications; ADA Compliant
Maintenance-free surface looks brand new for years
Custom shapes available
Frames come pre-assembled
Drain pan option available
Unique ""T"" blade design prevents debris from lodging within the grille",Array Track,Mats Inc | Array Track | Foot Grilles,,,,,,,,,,," 
Recessed
",,,,,,,,,,,,,,,,,,,,,,
,PXRT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Anti-slip surface for indoor and outdoor applications; ADA Compliant
Maintenance-free surface looks brand new for years
Custom shapes available
Frames come pre-assembled
Drain pan option available
Unique ""T"" blade design prevents debris from lodging within the grille",Array Track,Mats Inc | Array Track | Foot Grilles,,,,,,,,,,," 
Recessed
",,,,,,,,,,,,,,,,,,,,,,
,PXRT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Anti-slip surface for indoor and outdoor applications; ADA Compliant
Maintenance-free surface looks brand new for years
Custom shapes available
Frames come pre-assembled
Drain pan option available
Unique ""T"" blade design prevents debris from lodging within the grille",Array Track,Mats Inc | Array Track | Foot Grilles,,,,,,,,,,," 
Recessed
",,,,,,,,,,,,,,,,,,,,,,
,PXRT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Anti-slip surface for indoor and outdoor applications; ADA Compliant
Maintenance-free surface looks brand new for years
Custom shapes available
Frames come pre-assembled
Drain pan option available
Unique ""T"" blade design prevents debris from lodging within the grille",Array Track,Mats Inc | Array Track | Foot Grilles,,,,,,,,,,," 
Recessed
",,,,,,,,,,,,,,,,,,,,,,
,PXRT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Anti-slip surface for indoor and outdoor applications; ADA Compliant
Maintenance-free surface looks brand new for years
Custom shapes available
Frames come pre-assembled
Drain pan option available
Unique ""T"" blade design prevents debris from lodging within the grille",Array Track,Mats Inc | Array Track | Foot Grilles,,,,,,,,,,," 
Recessed
",,,,,,,,,,,,,,,,,,,,,,
"
Entryways in office buildings, retail stores, malls, hospitals, hotels, schools, libraries.
",PXAT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Heaviest rolling load in the industry
Anti-slip surface for indoor applications; ADA Compliant
Wide variety of designer insert options available
Custom shapes available, can be radius cut
Frames come pre-assembled
Drain pan option available

Standard Advanced Track sample will include aluminum frame with New York Charcoal Splash Designer Insert. The Designer Insert color you select here will be provided as a separate sample.",Advanced Track,Mats Inc | Foot Grilles | Advanced Track,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PXAT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Heaviest rolling load in the industry
Anti-slip surface for indoor applications; ADA Compliant
Wide variety of designer insert options available
Custom shapes available, can be radius cut
Frames come pre-assembled
Drain pan option available

Standard Advanced Track sample will include aluminum frame with New York Charcoal Splash Designer Insert. The Designer Insert color you select here will be provided as a separate sample.",Advanced Track,Mats Inc | Foot Grilles | Advanced Track,,, Zone 2: Vestibule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PXAT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Heaviest rolling load in the industry
Anti-slip surface for indoor applications; ADA Compliant
Wide variety of designer insert options available
Custom shapes available, can be radius cut
Frames come pre-assembled
Drain pan option available

Standard Advanced Track sample will include aluminum frame with New York Charcoal Splash Designer Insert. The Designer Insert color you select here will be provided as a separate sample.",Advanced Track,Mats Inc | Foot Grilles | Advanced Track,,,, 10 Year Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PXAT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Heaviest rolling load in the industry
Anti-slip surface for indoor applications; ADA Compliant
Wide variety of designer insert options available
Custom shapes available, can be radius cut
Frames come pre-assembled
Drain pan option available

Standard Advanced Track sample will include aluminum frame with New York Charcoal Splash Designer Insert. The Designer Insert color you select here will be provided as a separate sample.",Advanced Track,Mats Inc | Foot Grilles | Advanced Track, Heavy gauge 6061-T6 aluminum with aluminum alloy 6063-T5 scraping rails and standard 100% nylon fiber drying inserts. 58.62% pre-consumer and 15.5% post-consumer recycled content. Recycled content varies with Designer Insert Options.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
